m,dt
1,3.58569979668,0.837320089195
31,17.3222460747,0.840867626191
61,29.9298810959,0.838435029394
91,47.0742428303,0.840360835192
121,67.8343389034,0.840259476992
151,103.715847969,0.838029596594
181,138.705497026,0.841171700791
211,165.138527155,0.840968984391
241,247.112473965,0.838029596594
271,496.762899876,0.844415163187
301,1019.9941752,0.838435029394
