m,dt
1,1.4327850341796875
11,9.285953760147095
21,18.193119764328003
31,26.18158531188965
41,37.96006894111633
51,49.14001989364624
61,64.5386254787445
71,92.24288487434387
81,108.15458178520203
91,145.6165692806244
