m,dt
1,3.372743844985962
11,7.203309774398804
21,11.051189422607422
31,18.062649250030518
41,28.097179174423218
51,36.04713726043701
61,47.40421199798584
71,62.50059199333191
81,77.1311571598053
91,96.7364981174469
101,119.69455361366272
111,137.08487606048584
121,161.8254520893097
