m,dt
1,3.06300592422,0.841221682848
31,16.3437440395,0.837682038835
61,27.8240118027,0.841221682848
91,46.0427320004,0.840311488673
121,65.9423239231,0.842637540453
151,93.5105969906,0.837479773463
181,132.639001846,0.840311488673
211,168.701498985,0.840311488673
241,211.971354961,0.840311488673
271,503.319556952,0.841120550162
301,950.462148905,0.840311488673
