m,dt
1,3.20940208435,0.845472140165
31,16.1907510757,0.847203830091
61,28.6901750565,0.850463481715
91,46.6389760971,0.842619944993
121,65.3272931576,0.849139248243
151,96.2735438347,0.842721809107
181,128.438679934,0.84781501477
211,170.703570843,0.847203830091
241,238.281638145,0.845981460731
271,443.364324808,0.848324335337
301,949.486209869,0.842721809107
