m,dt,a
1,3.17861008644,0.847387113141
31,17.3893318176,0.839472349061
61,28.5514509678,0.839472349061
91,46.4493329525,0.839573820396
121,68.3078050613,0.83967529173
151,99.7713360786,0.848807711821
181,140.870539904,0.839472349061
211,167.733337879,0.845865043125
241,228.736510992,0.839573820396
271,493.286046028,0.845560629122
301,993.807859898,0.839573820396
