m,dt
1,3.25640797615,0.842580383406
31,17.0975739956,0.835277411502
61,29.5230569839,0.835277411502
91,45.5230410099,0.838117456131
121,69.2735860348,0.837407444974
151,96.8944020271,0.83771173547
181,135.269981861,0.837813165635
211,166.468078136,0.837508875139
241,227.70996213,0.837407444974
271,518.211534977,0.83771173547
301,889.703475952,0.835277411502
