m,dt,a
1,3.17226004601,0.84095345731
31,17.1717541218,0.846296106031
61,28.2273659706,0.843522038426
91,46.5826661587,0.837973903216
121,66.8751239777,0.837973903216
151,96.6884429455,0.837973903216
181,129.691261053,0.845987876297
211,173.937839985,0.849070173636
241,222.831488132,0.837973903216
271,455.027549028,0.848556457413
301,1006.95656514,0.837973903216
