m,dt,a
1,3.20940208435,0.845472140165
61,16.1907510757,0.847203830091
121,28.6901750565,0.850463481715
181,46.6389760971,0.842619944993
241,65.3272931576,0.849139248243
301,96.2735438347,0.842721809107
361,128.438679934,0.84781501477
421,170.703570843,0.847203830091
481,238.281638145,0.845981460731
541,443.364324808,0.848324335337
601,949.486209869,0.842721809107
